State,County,tax,cc,hoiBaseCoverage,hoiBaseAnnual
Alabama,Autauga County,0.0029,0.035,300000,3114
Alabama,Baldwin County,0.0031,0.035,300000,3114
Alabama,Barbour County,0.0038,0.035,300000,3114
Alabama,Bibb County,0.002,0.035,300000,3114
Alabama,Blount County,0.003,0.035,300000,3114
Alabama,Bullock County,0.0039,0.035,300000,3114
Alabama,Butler County,0.0034,0.035,300000,3114
Alabama,Calhoun County,0.0041,0.035,300000,3114
Alabama,Chambers County,0.0038,0.035,300000,3114
Alabama,Cherokee County,0.0039,0.035,300000,3114
Alabama,Chilton County,0.0034,0.035,300000,3114
Alabama,Choctaw County,0.0018,0.035,300000,3114
Alabama,Clarke County,0.0031,0.035,300000,3114
Alabama,Clay County,0.0023,0.035,300000,3114
Alabama,Cleburne County,0.0029,0.035,300000,3114
Alabama,Coffee County,0.0034,0.035,300000,3114
Alabama,Colbert County,0.0037,0.035,300000,3114
Alabama,Conecuh County,0.0032,0.035,300000,3114
Alabama,Coosa County,0.0027,0.035,300000,3114
Alabama,Covington County,0.0025,0.035,300000,3114
Alabama,Crenshaw County,0.0032,0.035,300000,3114
Alabama,Cullman County,0.0025,0.035,300000,3114
Alabama,Dale County,0.0033,0.035,300000,3114
Alabama,Dallas County,0.0042,0.035,300000,3114
Alabama,DeKalb County,0.0034,0.035,300000,3114
Alabama,Elmore County,0.0026,0.035,300000,3114
Alabama,Escambia County,0.004,0.035,300000,3114
Alabama,Etowah County,0.0036,0.035,300000,3114
Alabama,Fayette County,0.0029,0.035,300000,3114
Alabama,Franklin County,0.0034,0.035,300000,3114
Alabama,Geneva County,0.0032,0.035,300000,3114
Alabama,Greene County,0.0049,0.035,300000,3114
Alabama,Hale County,0.0032,0.035,300000,3114
Alabama,Henry County,0.0034,0.035,300000,3114
Alabama,Houston County,0.003,0.035,300000,3114
Alabama,Jackson County,0.0031,0.035,300000,3114
Alabama,Jefferson County,0.006,0.035,300000,3114
